67 7 -3
-31 -27 61
-34 -5 -16
-71 39 -36
32 -38 21
-27 -46 -4
75 -62 24
8 -98 -45
-29 -43 46
-79 -13 -56
-32 -69 -79
-85 67 83
-41 80 -86
-40 -19 74
-61 42 -89
54 -21 67
62 65 83
1 84 -61
41 -40 -66
-21 21 8
-57 -93 16
1 95 -100
43 7 -90
68 40 72
-56 84 71
68 -51 32
-82 -37 -95
-67 -49 -13
45 20 25
48 -40 -91
-99 46 5
-99 -51 15
-33 -80 57
75 91 -1
-44 89 74
25 58 32
59 -31 -69
-10 -42 84
-7 -35 -74
10 -56 81
-83 43 76
97 28 98
60 49 -86
53 -58 -76
25 25 -89
-62 -21 -84
-92 52 -66
-11 -81 23
-3 -37 -57
-92 -91 1
-31 -2 -8
-80 85 53
7 -32 -57
81 8 60
66 62 6
65 67 64
64 69 51
20 73 -6
7 63 -20
30 -91 -71
-39 -88 14
-16 13 27
-13 88 -80
89 -60 68
38 -78 -57
-27 21 75
-59 48 -7
-30 -23 -69
81 -55 71
-1 31 91
19 -73 -61
27 -6 38
75 76 100
-47 77 98
-55 68 95
-64 -42 -68
32 -60 29
-51 -38 41
-74 67 76
7 9 86
98 -4 -44
-91 -51 -69
64 59 -87
65 14 -28
-4 -36 38
-90 -6 -88
54 -12 -98
-66 -71 37
-56 27 82
72 -59 -40
27 16 -1
-63 38 89
87 46 -71
75 37 -11
97 -18 -56
-31 17 -75
76 50 -67
-61 -98 12
6 -38 62
17 13 -30
